AUTHOR,TITLE,WORDS#,the,and,of,that,to,unto,in,it,for,be,which,a,not,came,pass,behold,all,this,now,with,yea,should,by,as,upon,but,also,from,there,because,these,therefore,when,if,even,into,would,forth
DOYLE,doyle_new_catacomb,5192,54,29,25,36,20,15,5,20,15,12,6,5,6,13,7,7,4,4,8,6,10,3,6,3,1,5,1,13,2,4,11,2,5,2,2,2,5,1,3,0,0,0,5,0,0,0,0,12,4,3,4
DOYLE,doyle-horrorofheights,6376,64,32,21,36,1,17,14,19,15,7,4,3,8,4,6,7,0,6,11,7,4,2,3,0,2,4,1,21,3,1,7,5,4,3,2,3,3,0,3,0,0,0,14,0,0,0,0,7,4,2,2
DOYLE,doyle-mystery-funnel,4399,64,29,22,35,12,20,8,21,19,9,5,4,13,10,7,6,0,5,8,5,9,3,3,2,2,8,2,18,3,10,8,5,4,2,1,0,4,1,3,0,0,0,8,0,0,1,0,10,2,1,2
COOPER,Mohicans_chap1,3980,107,30,23,65,0,18,0,6,13,2,5,3,8,11,5,3,0,2,8,0,4,0,2,0,3,3,0,13,6,5,8,8,6,3,8,0,3,0,1,0,0,0,0,0,0,0,0,9,9,1,0
COOPER,Mohicans_chap2,3215,80,27,33,46,9,21,3,6,11,7,4,7,3,18,7,4,2,6,7,2,10,0,3,2,2,5,1,5,4,4,4,2,2,2,4,0,7,1,2,0,0,0,3,0,0,0,0,8,9,3,5
COOPER,Water_Witch_chap1,4736,84,27,27,47,5,20,9,9,14,12,7,6,7,11,7,5,2,9,9,2,6,1,4,2,2,7,2,5,4,1,4,2,3,1,2,1,6,0,2,0,1,0,9,0,0,0,0,3,4,4,6
THOREAU,civil-disobedience,9000,56,39,39,29,2,13,6,22,14,17,6,16,7,6,10,10,1,9,12,4,7,3,2,2,7,7,3,5,3,1,2,3,3,11,5,3,16,1,4,0,1,0,6,0,0,0,1,8,5,3,8
THOREAU,walden-p1,25332,57,36,32,32,3,17,7,15,14,13,5,11,6,7,11,7,1,8,11,2,6,4,4,2,8,8,3,5,5,0,3,3,3,6,4,3,11,1,5,0,0,0,7,0,0,0,0,7,5,3,7
THOREAU,walking,11743,71,38,27,39,2,20,5,12,13,17,4,10,4,5,9,7,0,5,11,2,4,2,3,1,6,6,3,3,5,1,2,2,4,6,4,2,10,0,4,0,0,0,5,0,0,0,0,10,5,3,7
EDWARDS,sermons-edwards-p1,6889,61,50,21,49,0,27,0,12,27,27,4,6,4,8,9,7,0,5,9,0,13,1,9,15,3,10,2,5,13,0,2,0,6,4,5,2,6,0,11,1,1,0,0,0,0,0,0,6,8,0,13
EDWARDS,sermons-edwards-p2,8188,64,43,23,60,0,21,1,19,35,26,12,10,3,6,3,9,0,9,12,2,9,3,4,3,9,5,2,4,3,0,2,2,6,4,3,5,10,0,2,0,0,0,1,0,0,0,0,3,8,2,7
EDWARDS,sermons-edwards-p3,6605,47,59,28,41,18,24,1,9,26,13,4,4,13,7,7,5,5,14,8,0,5,1,4,2,1,15,7,3,2,7,3,3,3,12,12,11,4,0,6,2,7,0,1,0,0,0,7,1,1,1,12
MCDONALD,sermons-mcdonald-p1,4867,81,28,28,44,1,27,2,17,25,27,8,14,4,12,11,8,0,11,9,4,19,1,2,7,2,4,5,6,1,0,2,1,3,2,0,5,14,0,5,1,4,0,2,0,0,0,0,5,3,3,2
MCDONALD,sermons-mcdonald-p2,4219,63,20,25,41,0,13,0,20,29,24,4,18,7,7,12,9,0,15,8,0,13,2,4,8,2,6,9,7,1,0,2,1,4,9,3,6,18,1,6,1,5,0,0,0,0,0,1,11,3,6,2
